product_id,product_name_en,product_name_ja,category,series,launch_date,lifecycle_status,product_owner,knowledge_status,completeness_score,freshness_score,last_updated,source_count,unresolved_conflict_count,missing
hub_3,SwitchBot Hub 3,,,Hub,,unknown,,pending_verification,58,92,2026-07-30,2,0,positioning; target_audience; use_cases; competitors; channel_messages
lock_ultra,SwitchBot Lock Ultra,,,Lock,,unknown,,conflict,58,92,2026-07-30,4,1,positioning; target_audience; use_cases; competitors; channel_messages
keypad_vision_pro,SwitchBot Keypad Vision Pro,,,Keypad,,unknown,,conflict,50,92,2026-07-30,1,2,positioning; specs; target_audience; use_cases; competitors; channel_messages
ai_mindclip,SwitchBot AI MindClip,,,AI,,unknown,,pending_verification,33,92,2026-07-30,1,0,positioning; specs; selling_points; compatibility; target_audience; use_cases; competitors; channel_messages
video_doorbell,SwitchBot Video Doorbell,,,Security,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
battery_circulator_fan,SwitchBot Battery Circulator Fan,,,Comfort,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
circulator_fan_2_pro,SwitchBot Circulator Fan 2 Pro,,,Comfort,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
curtain_3,SwitchBot Curtain 3,,,Curtain,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
k10_pro_combo,SwitchBot K10+ Pro Combo,,,Robot Vacuum,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
k11_plus,SwitchBot K11+,,,Robot Vacuum,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
s10,SwitchBot S10,,,Robot Vacuum,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
s20,SwitchBot S20,,,Robot Vacuum,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
daily_station,SwitchBot Daily Station,,,,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
weather_station,SwitchBot Weather Station,,,,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
ai_art_canvas,SwitchBot AI Art Canvas,,,AI Art,,unknown,,conflict,17,92,2026-07-30,1,2,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
relay_switch_1,SwitchBot Relay Switch 1,,,Relay Switch,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
kata_friends,SwitchBot KATA Friends,,,KATA,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
homerunpet_series,homerunPET Series,,,Pet Smart Home,,unknown,,pending_verification,17,92,2026-07-30,1,0,positioning; specs; selling_points; claims; compatibility; faq; target_audience; use_cases; competitors; channel_messages
