source_id,product_id,information_type,source_name,source_url,source_type,owner,document_updated_at,retrieved_at,source_priority,status,notes
SRC-000,ai_art_canvas,User-provided internal task,Skill 4 Product Knowledge task specification,pasted-text.txt attachment supplied in the task,User-provided internal task,赖晓洪,2026-07-30,2026-07-30,P3,internal_verification,Governing schema and review policy.
SRC-000,battery_circulator_fan,User-provided internal task,Skill 4 Product Knowledge task specification,pasted-text.txt attachment supplied in the task,User-provided internal task,赖晓洪,2026-07-30,2026-07-30,P3,internal_verification,Governing schema and review policy.
SRC-000,lock_ultra,User-provided internal task,Skill 4 Product Knowledge task specification,pasted-text.txt attachment supplied in the task,User-provided internal task,赖晓洪,2026-07-30,2026-07-30,P3,internal_verification,Governing schema and review policy.
SRC-001,hub_3,Feishu internal document,"产品资料（未经允许不得外传） / Security, Household Robot and Comfort product information",https://ihqz5dyhwa.feishu.cn/docx/IbubdHmknoRtQux5A5ycnztrnEd,Feishu internal document,Product Marketing,2025-04-23,2026-07-30,P3,internal_verification,Contains a known Lock Ultra versus Keypad Vision feature-attribution conflict.
SRC-001,k11_plus,Feishu internal document,"产品资料（未经允许不得外传） / Security, Household Robot and Comfort product information",https://ihqz5dyhwa.feishu.cn/docx/IbubdHmknoRtQux5A5ycnztrnEd,Feishu internal document,Product Marketing,2025-04-23,2026-07-30,P3,internal_verification,Contains a known Lock Ultra versus Keypad Vision feature-attribution conflict.
SRC-001,lock_ultra,Feishu internal document,"产品资料（未经允许不得外传） / Security, Household Robot and Comfort product information",https://ihqz5dyhwa.feishu.cn/docx/IbubdHmknoRtQux5A5ycnztrnEd,Feishu internal document,Product Marketing,2025-04-23,2026-07-30,P3,internal_verification,Contains a known Lock Ultra versus Keypad Vision feature-attribution conflict.
SRC-001,s20,Feishu internal document,"产品资料（未经允许不得外传） / Security, Household Robot and Comfort product information",https://ihqz5dyhwa.feishu.cn/docx/IbubdHmknoRtQux5A5ycnztrnEd,Feishu internal document,Product Marketing,2025-04-23,2026-07-30,P3,internal_verification,Contains a known Lock Ultra versus Keypad Vision feature-attribution conflict.
SRC-002,lock_ultra,Feishu internal product marketing document,SwitchBot Lock Ultra—JP 产品营销文档,https://ihqz5dyhwa.feishu.cn/docx/UYPTduxgcoF4kpxvKO4crNLbnZc,Feishu internal product marketing document,Product Marketing,2025-08-05,2026-07-30,P3,internal_verification,"Includes naming, positioning, feature, compatibility, competitor, specification, and FAQ sections."
SRC-003,keypad_vision_pro,Feishu internal product marketing document,SwitchBot Keypad Vision Pro产品营销文档,https://ihqz5dyhwa.feishu.cn/docx/DFGrd8kr2oGm6sxbmVecYRhnnNe,Feishu internal product marketing document,Product Marketing,2025-12-24,2026-07-30,P3,internal_verification,Product-specific source for biometric feature ownership.
SRC-003,lock_ultra,Feishu internal product marketing document,SwitchBot Keypad Vision Pro产品营销文档,https://ihqz5dyhwa.feishu.cn/docx/DFGrd8kr2oGm6sxbmVecYRhnnNe,Feishu internal product marketing document,Product Marketing,2025-12-24,2026-07-30,P3,internal_verification,Product-specific source for biometric feature ownership.
SRC-004,hub_3,Feishu internal product marketing document,SwitchBot Hub 3——JP 产品营销文档,https://ihqz5dyhwa.feishu.cn/docx/OD0AdgRdmobBptxeejccaoALnLc,Feishu internal product marketing document,Product Marketing,2025-09-03,2026-07-30,P3,internal_verification,"Includes naming, positioning, feature, ecosystem, specification, and FAQ sections."
