rule_id,rule,rule_type,confidence,human_decision,supporting_samples,anti_pattern_samples,evidence_type,notes
R-BRAND-001,每封 EDM 必须明确且只服务一个 Primary Objective。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_006|SBG_007|SBG_016|SBG_019|SBG_020,SBG_021,inferred,QA=BLOCKED; failure_code=PRIMARY_OBJECTIVE_MISSING_OR_MULTIPLE.
R-WEIGHT-001,Tier D 不得覆盖 Tier A；Tier C 只补充 Japan Localization 与视觉参考。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_006|SBG_007|SBG_016|SBG_019|SBG_020,EXT_005,governance,Tier A > Tier B > Tier C > Tier D; QA=BLOCKED on evidence override.
R-PRODUCT-001,Hero 或首个正文模块必须出现可辨认的官方产品本体，关键视口不得破坏性裁切或遮挡产品。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_006|SBG_007|SBG_016|SBG_019,SBG_008|SBL_002|SBL_003|SBG_021,inferred,QA=BLOCKED; failure_code=PRODUCT_NOT_RECOGNIZABLE.
R-ASSET-001,产品、App UI、包装、配件、安装关系与 Detail Close-up 必须来自可追溯的官方或已确认素材。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_007|SBG_016|SBG_019,SBL_002|SBL_003,governance,QA=BLOCKED; failure_code=ASSET_PROVENANCE_MISSING.
R-ASSET-002,Test Copy、Placeholder、Dummy URL、缺图占位和未确认产品视觉不得进入 Final。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_006|SBG_007,SBL_002|SBL_003|SBG_008,governance,QA=BLOCKED; failure_code=PLACEHOLDER_OR_TEST_CONTENT.
R-AI-001,AI 不得重绘、重构或补画产品本体、App UI、接口、传感器、按钮、配件或包装。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_007|SBG_016|SBG_019,SBL_002|SBL_003,governance,QA=BLOCKED; failure_code=AI_PRODUCT_REDRAW.
R-AI-002,AI 只可辅助环境、人物、道具、光线和背景；必须保持产品事实与形态不变。,Hard,High,Not Required — retained from v0.1,SBG_007|SBG_016|SBG_019,SBL_002|SBL_003,governance,QA=BLOCKED; failure_code=AI_PRODUCT_INTEGRITY_CHANGED.
R-CLAIM-001,规格、价格、优惠、期间、兼容性与 Claim 必须有当前有效来源；缺失时标记 Blocked 或 Unverified。,Hard,High,Not Required — retained from v0.1,SBG_005|SBG_006|SBG_016|SBG_019,SBL_003,governance,QA=BLOCKED; failure_code=UNVERIFIED_CLAIM.
R-CLAIM-002,产品本体能力与配件、服务或 App 能力必须分开表达。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_016|SBG_019,SBL_003,governance,QA=BLOCKED; failure_code=CAPABILITY_BOUNDARY_VIOLATION.
R-CTA-001,每个模块最多 1 个 Primary CTA；全邮件只允许 1–2 个明确目的地，多产品卡可按 SKU 重复。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_005|SBG_006|SBG_007|SBG_016|SBG_019|SBG_020,SBG_021|SBL_003,inferred,QA=BLOCKED; failure_code=CTA_HIERARCHY_OR_DESTINATION_OVERLOAD.
R-CTA-004,CTA 文案必须说明动作或目的地，且链接必须真实可用；Marketplace 必须明确写明渠道。,Hard,High,Not Required — retained from v0.1,SBG_003|SBG_005|SBG_006|SBG_019,SBG_021|SBL_003,inferred,QA=BLOCKED; failure_code=CTA_DESTINATION_INVALID.
R-MODULE-001,Final EDM 必须具有 Hero、Primary Message、主要 CTA、必要产品或 Proof 视觉以及 Footer，关键图片必须加载成功。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_006|SBG_007|SBG_016|SBG_019|SBG_020,SBG_008|SBG_021|SBL_002|SBL_003,inferred,QA=BLOCKED; failure_code=REQUIRED_EDM_STRUCTURE_MISSING.
R-PROMO-002,Urgency、截止时间、Deal、OFF、Coupon 与适用条件必须真实且可核对。,Hard,High,Not Required — retained from v0.1,SBG_005|SBG_006|SBG_016|SBG_019,,governance,QA=BLOCKED; failure_code=PROMOTION_FACT_UNVERIFIED.
R-COPY-002,Final 文案不得包含测试文字、Placeholder、未经确认事实或把 Unknown 改写成确定性表述。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_006|SBG_007,SBL_002|SBL_003,governance,QA=BLOCKED; failure_code=COPY_FACT_OR_PLACEHOLDER_FAILURE.
R-DESKTOP-001,SwitchBot 正式 EDM 的 Desktop 内容宽度基线为 600px。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_003|SBG_005|SBG_006|SBG_007|SBG_016|SBG_019|SBG_020,SBL_001,measured,8 个 Tier A Gmail HTML measured; SBL_001 已 Reject，不参与正向证据。
R-EVIDENCE-001,未渲染空白、加载失败、Gallery Frame 或只有 Metadata 的样本不得支持视觉规则。,Hard,High,Not Required — retained from v0.1,SBG_003,EXT_005|SBG_008,governance,QA=BLOCKED; EXT_005 仅保留 mobile-only Tier D。
R-QA-001,任何必要事实、素材、URL、价格、期间或授权仍为 Blocked、Unverified 或 Conflict 时必须阻塞 Final。,Hard,High,Not Required — retained from v0.1,SBG_001|SBG_006|SBG_007|SBG_016|SBG_019,SBL_002|SBL_003,governance,QA=BLOCKED; failure_code=REQUIRED_INPUT_UNRESOLVED.
R-QA-002,Hard 违反必须 BLOCKED；Soft 偏离必须解释；Experimental 不得阻塞 Production。,Hard,High,Not Required — retained from v0.1,,,governance,QA=BLOCKED if rule classification is misapplied.
R-HERO-001,Hero 保留 1 个主活动或主命题；Promotion Hybrid 可增加 1 个次级促销层，但两者不能同等级竞争。,Soft,Medium,Modify,SBG_001|SBG_006|SBG_007|SBG_016|SBG_019,SBG_021,human_decision,Human note: 作为 Soft Rule 保留；允许 Promotion Hybrid 显示 1 个主活动 + 1 个次级促销层，但二者不能同等级竞争。
R-HERO-002,不使用固定 Hero 高度比例；标题、产品与主 CTA 应在首屏形成完整任务，整体高度尽量接近常规 Desktop 或 Mobile 的一屏。,Soft,Medium,Modify,SBG_001|SBG_003|SBG_007|SBG_016|SBG_019,SBG_008,human_decision,Human removed 30%–42% fixed ratio and retained one-screen-like complete task.
R-DENSITY-001,模块数量只作诊断参考；优先检查 Primary Message、产品证据、主要 CTA 与必要 Proof 是否完整。,Soft,Medium,Modify,SBG_003|SBG_006|SBG_007|SBG_016|SBG_019|SBG_020,SBL_001|SBG_008|SBG_021|SBL_002|SBL_003,human_decision,Module count is not a blocking threshold.
R-PROMO-001,Hero 同时高强调的促销 Token 最多 2 个，优先只突出 Deal 或 OFF 中的 1 个；Last Chance 可强化真实紧迫感。,Soft,Medium,Keep,SBG_005|SBG_006|SBG_016|SBG_019|JPN_014,,visually_estimated,Human kept as Soft; genuine period and offer required.
R-CTA-002,不设全邮件 CTA placement 硬上限；按模块管理，每模块 1 个 Primary CTA，多产品卡可按 SKU 重复。,Soft,Medium,Modify,SBG_001|SBG_003|SBG_005|SBG_006|SBG_016|SBG_019,SBG_021|SBL_003,human_decision,Human replaced global 2–6/8 limit with module-level governance.
R-COPY-001,日文 H1 默认 14–26 字，软上限 28 字；Editorial 或 Brand Story 可至 38 字，并按语义控制在 2–3 行。,Soft,Medium,Modify,SBG_003|JPN_002|JPN_004|JPN_007|JPN_009|JPN_010|JPN_011|JPN_012|JPN_014|JPN_015|JPN_016|JPN_017|JPN_020|JPN_023|JPN_024,SBG_021,measured,Tier C measured range 13–37; median 20; IQR 18–25. Human set final range.
R-MESSAGE-002,Primary USP 默认 1 个；Secondary USP 默认 2–3 个，超过时移入 Feature、Comparison 或后续模块。,Soft,High,Not Required — retained from v0.1,SBG_001|SBG_006|SBG_007|SBG_016|SBG_019,SBG_021,inferred,Default hierarchy; deviation requires explanation.
R-MESSAGE-003,Feature 默认 3–6 个，Proof 默认 1–3 个；更多内容必须分章。,Soft,Medium,Not Required — retained from v0.1,SBG_006|SBG_007|SBG_016|SBG_019|SBG_020,SBG_021,inferred,Diagnostic ranges; not blocking.
R-HERO-004,按 Campaign 选择 product_center、lifestyle、promotion、multi_product 或 split Hero。,Soft,Medium,Not Required — retained from v0.1,SBG_005|SBG_006|SBG_007|SBG_016|SBG_019|SBG_020,,inferred,Campaign and available official assets can change the default.
R-COPY-003,Subheadline、正文、Feature 与 CTA 使用 v1.0 建议字数范围。,Soft,Medium,Not Required — retained from v0.1,SBG_001|SBG_007|SBG_016|SBG_019|JPN_014|JPN_020,SBG_021,inferred,Soft ranges; legal and product complexity may require deviation.
R-COPY-004,英文只用于 Brand、Product Name、已确认技术名或必要导航；理解风险高时紧邻自然日文解释。,Soft,Medium,Not Required — retained from v0.1,SBG_001|SBG_007|SBG_016|SBG_019|JPN_002|JPN_014,,inferred,Tier D cannot determine English usage for Japan.
R-PROMO-003,优惠视觉默认按 Campaign Benefit 或 Deal、OFF 或减额、Coupon、MSRP、Period 或 Condition 排序。,Soft,High,Not Required — retained from v0.1,SBG_005|SBG_006|SBG_016|SBG_019|JPN_014,,inferred,Same SKU repeats normally <=2; Last Chance <=3; deviation explains.
